1529649349 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649350 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649351 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649352 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649354 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649355 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649356 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649357 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649358 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649359 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649361 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649362 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649363 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649364 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649365 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649366 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649368 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649369 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649370 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649371 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649372 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649373 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649375 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649376 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649377 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649378 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649379 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649380 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649382 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649383 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649384 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649385 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649386 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649387 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649389 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649390 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649391 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649392 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649393 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649394 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649396 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649397 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649398 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649399 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649400 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649401 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649403 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649404 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649405 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649406 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649407 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649408 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649410 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649411 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649412 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649413 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649414 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649416 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649417 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649418 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649419 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529649420 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.1 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
