1529649393 KiB Mem: 8197444 total, 8033488 used, 163956 free, 11280 buffers
1529649394 KiB Mem: 8197444 total, 8034868 used, 162576 free, 11280 buffers
1529649396 KiB Mem: 8197444 total, 8031700 used, 165744 free, 11280 buffers
1529649397 KiB Mem: 8197444 total, 8035824 used, 161620 free, 11280 buffers
1529649398 KiB Mem: 8197444 total, 8035348 used, 162096 free, 11288 buffers
1529649399 KiB Mem: 8197444 total, 8035736 used, 161708 free, 11288 buffers
1529649400 KiB Mem: 8197444 total, 8036380 used, 161064 free, 11288 buffers
1529649401 KiB Mem: 8197444 total, 8033320 used, 164124 free, 11288 buffers
1529649403 KiB Mem: 8197444 total, 8037948 used, 159496 free, 11288 buffers
1529649404 KiB Mem: 8197444 total, 8047244 used, 150200 free, 11296 buffers
1529649405 KiB Mem: 8197444 total, 8045704 used, 151740 free, 11296 buffers
1529649406 KiB Mem: 8197444 total, 8040032 used, 157412 free, 11296 buffers
1529649407 KiB Mem: 8197444 total, 8043256 used, 154188 free, 11296 buffers
1529649408 KiB Mem: 8197444 total, 8041128 used, 156316 free, 11304 buffers
1529649410 KiB Mem: 8197444 total, 8036836 used, 160608 free, 11304 buffers
1529649411 KiB Mem: 8197444 total, 8036748 used, 160696 free, 11304 buffers
1529649412 KiB Mem: 8197444 total, 8037800 used, 159644 free, 11312 buffers
1529649413 KiB Mem: 8197444 total, 8037848 used, 159596 free, 11312 buffers
1529649414 KiB Mem: 8197444 total, 8033872 used, 163572 free, 11312 buffers
1529649416 KiB Mem: 8197444 total, 8037104 used, 160340 free, 11312 buffers
1529649417 KiB Mem: 8197444 total, 8039068 used, 158376 free, 11312 buffers
1529649418 KiB Mem: 8197444 total, 8037652 used, 159792 free, 11320 buffers
1529649419 KiB Mem: 8197444 total, 8037860 used, 159584 free, 11320 buffers
1529649420 KiB Mem: 8197444 total, 8034260 used, 163184 free, 11320 buffers
1529649421 KiB Mem: 8197444 total, 8037644 used, 159800 free, 11320 buffers
1529649423 KiB Mem: 8197444 total, 8037764 used, 159680 free, 11328 buffers
1529649424 KiB Mem: 8197444 total, 8037908 used, 159536 free, 11328 buffers
1529649425 KiB Mem: 8197444 total, 8039016 used, 158428 free, 11328 buffers
1529649426 KiB Mem: 8197444 total, 8038804 used, 158640 free, 11328 buffers
1529649427 KiB Mem: 8197444 total, 8036276 used, 161168 free, 11336 buffers
